Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
30.10.22 14:14:00,17.55,78.4,76.82,73.6,70.63,97.81,61.81,69.28,70.88,79.78,69.55,77.87,93.46,73.76,100.44,80.04,79.9,79.53,84.15,63.99,66.1,102.64,65.82,69.24,76.55,,30,965,36,28.77,
30.10.22 14:14:15,17.8,77.99,76.42,73.33,70.23,97.37,61.02,68.74,70.47,79.22,69.01,77.32,93.32,73.36,100,79.62,79.62,78.98,83.85,63.6,65.68,102.34,65.11,68.97,75.29,,30,965,36,28.78,
30.10.22 14:14:30,18.05,77.99,76.28,73.06,70.1,97.52,60.76,68.07,70.33,78.8,68.34,77.05,93.17,73.22,100.29,79.48,79.19,78.7,83.85,63.46,65.26,102.79,65.25,68.84,74.88,,30,965,36,28.8,
30.10.22 14:14:45,18.3,77.57,76.01,72.66,69.83,97.37,60.24,67.8,69.93,78.52,67.4,76.77,93.17,72.55,100.15,79.06,79.04,78.7,83.7,63.2,64.85,102.64,64.68,68.44,73.77,,30,965,36,28.8,
30.10.22 14:15:00,18.55,77.44,75.87,72.52,69.44,97.37,60.11,67.27,69.79,78.11,66.47,76.36,93.17,72.41,100.15,78.78,78.76,78.56,83.55,62.94,64.29,102.64,64.83,68.04,73.08,,30,965,36,28.8,
30.10.22 14:15:15,18.8,77.16,75.6,72.25,69.31,97.37,59.46,66.87,69.39,77.83,65.81,76.09,92.89,71.88,100,78.78,78.33,78.15,83.4,62.68,63.74,102.93,64.4,67.64,72.11,,30,965,36,28.81,
30.10.22 14:15:30,19.05,76.89,75.06,71.98,69.18,97.52,59.07,66.34,69.39,77.55,65.67,75.95,93.03,71.47,100.15,78.36,78.04,77.6,83.25,62.54,63.33,102.79,64.54,67.24,71.56,,30,965,36,28.83,
30.10.22 14:15:45,19.3,76.61,74.92,71.85,68.65,97.37,58.68,66.2,69.12,77.41,65.54,75.54,93.03,71.2,100.29,78.22,77.62,77.46,83.25,62.54,62.92,102.49,64.11,66.97,71.01,,30,965,36,28.84,
30.10.22 14:16:00,19.55,76.47,74.79,71.58,68.52,97.52,58.29,65.94,68.98,76.86,65.67,75.4,92.74,70.8,100.29,77.94,77.19,77.18,83.1,62.41,62.64,102.93,63.97,66.31,70.33,,30,965,36,28.85,
30.10.22 14:16:15,19.8,75.92,74.25,71.04,68.26,97.37,57.77,65.67,68.17,76.44,65.41,74.72,92.89,70.4,100.29,77.39,76.76,76.63,82.8,62.02,61.96,102.64,63.55,66.04,69.78,,30,965,36,28.85,
30.10.22 14:16:30,20.05,75.79,74.11,70.91,67.86,97.22,57.51,65.28,68.04,76.16,65.67,74.58,92.6,70,100.29,77.25,76.48,76.63,82.65,61.76,61.68,102.93,63.55,65.52,69.37,,30,965,36,28.86,
30.10.22 14:16:45,20.3,75.51,73.71,70.64,67.73,97.08,56.86,65.14,67.64,75.75,65.54,74.45,92.6,69.47,100.29,76.83,75.91,76.22,82.35,61.37,61.13,102.79,62.84,65.12,69.23,,30,965,36,28.88,
30.10.22 14:17:00,20.55,75.38,73.44,70.5,67.6,97.22,56.48,65.01,67.5,75.2,65.81,74.17,92.6,68.93,100.44,76.83,75.63,76.22,82.35,61.1,60.59,102.93,62.7,64.72,68.69,,30,965,36,28.88,
30.10.22 14:17:15,20.8,75.24,73.04,70.24,67.47,97.08,56.22,64.75,67.23,75.06,65.94,74.04,92.74,68.8,100.29,76.28,75.35,76.09,82.2,61.24,59.9,102.79,62.7,64.46,68.69,,30,965,36,28.88,
30.10.22 14:17:30,21.05,74.83,72.77,69.7,66.95,97.22,55.83,64.35,67.1,74.37,65.94,73.36,92.31,68.4,100.29,75.86,74.64,75.54,81.91,60.97,59.36,102.93,62.27,63.8,68.42,,30,965,36,28.91,
30.10.22 14:17:45,21.3,74.83,72.5,69.7,66.95,97.08,55.7,63.82,66.83,73.96,65.94,72.95,92.31,68.13,100.15,75.72,74.22,75.13,81.76,60.84,58.95,102.79,62.13,63.93,68.14,,30,965,36,28.91,
30.10.22 14:18:00,21.55,74.42,72.36,69.3,66.56,96.79,55.58,63.69,66.7,73.68,65.67,72.54,92.17,67.74,100.29,75.31,73.8,75.13,81.31,60.58,58.54,102.64,61.99,63.67,67.74,,30,965,36,28.92,
30.10.22 14:18:15,21.8,74.28,71.69,69.17,66.43,96.93,55.45,63.43,66.43,73.27,65.67,72.41,92.17,67.47,100.29,75.03,73.51,74.72,81.46,60.06,58.14,102.93,61.71,63.15,67.74,,30,965,36,28.94,
30.10.22 14:18:30,22.05,74.01,71.43,68.77,66.04,96.64,54.93,62.9,66.16,72.73,65.14,71.73,91.88,67.07,100.29,74.76,73.09,74.58,81.01,59.67,57.87,102.93,61.29,62.75,67.47,,30,965,36,28.94,
