name	term	lev	seq	value
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN47008_c0_g2	3.3628829603313
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN4847_c0_g1	-0.528456246274266
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN579109_c0_g1	0.11498195926962
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN58101_c0_g1	-0.0678300355928658
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN61183_c0_g1	1.38111083894656
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN63244_c0_g1	0.146188762422959
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN655_c1_g1	0.198215760021646
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN65831_c0_g1	0.455169484018137
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN674_c0_g1	-0.109776140820511
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN69302_c0_g1	0.836493281703934
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN6936_c0_g1	0.688121188791322
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN71324_c0_g1	-0.170761912866641
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN7146_c1_g1	-0.730565935424169
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN7245_c1_g1	3.3400465004891
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN72949_c0_g1	-0.730992553696019
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN7367_c1_g1	0.20854655314694
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN74150_c0_g1	-0.615939898215916
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN7687_c0_g1	-0.177884849913948
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN77756_c0_g1	0.516050017862151
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN8064_c0_g1	-1.3692101989563
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN82577_c0_g2	-0.26633685375702
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN8419_c0_g1	0.0809029694913053
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN89631_c0_g1	-0.300186015833691
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN9831_c0_g2	0.49571701560549
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN10080_c0_g1	0.386907267718156
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN10940_c0_g2	-0.0013426601619479
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN14367_c0_g1	-1.0530637832184
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN1582_c0_g1	-0.468795932044232
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN163780_c0_g1	-1.38105974437709
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN22252_c0_g1	-0.633376214100302
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN3890_c1_g3	-0.226900096914424
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN46489_c0_g2	-1.12289421799953
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN52681_c0_g1	-0.623829000993318
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN74422_c0_g1	-0.511297533784279
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN10360_c0_g1	0.023257110755311
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN11686_c0_g1	-0.408245289564004
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN13398_c0_g1	1.10519068557118
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN13601_c0_g1	-0.570024917467573
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN14634_c0_g1	0.103573737847464
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN15508_c0_g1	1.69005476105932
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN15554_c0_g1	0.262103705815903
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN156199_c0_g1	-0.446534394460279
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN16613_c0_g1	-0.18155079823613
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN1743_c1_g1	-0.038461375368394
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN19049_c0_g1	-0.193909343085229
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN20079_c0_g2	0.0814748077440612
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN248319_c0_g1	0.514253838049559
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN2652_c0_g1	-0.0600462989622383
"regulation of nucleobase-containing compound metabolic process"	GO:0019219	2	TRINITY_DN28440_c0_g2	0.163514250643593
