"","5","8","12","16","20","24"
"TRINITY_DN125851_c0_g2",35,12,20,11,7,5
"TRINITY_DN126134_c0_g1",7,32,25,19,20,4
"TRINITY_DN126582_c0_g1",6,3,15,17,12,3
"TRINITY_DN126587_c0_g1",11,0,29,19,4,11
"TRINITY_DN126817_c0_g1",22,87,79,123,8,54
"TRINITY_DN127318_c0_g1",5,9,14,10,16,12
"TRINITY_DN127381_c0_g1",37,6,13,20,27,19
"TRINITY_DN127311_c0_g1",19,39,40,62,2,0
"TRINITY_DN127324_c2_g1",14,17,15,12,13,12
"TRINITY_DN127978_c0_g1",8,0,14,30,12,0
"TRINITY_DN127987_c0_g3",138,103,144,122,124,247
"TRINITY_DN127968_c1_g1",11,22,22,36,10,47
"TRINITY_DN127919_c0_g1",0,8,17,30,11,2
"TRINITY_DN127959_c0_g1",12,12,34,2,20,5
"TRINITY_DN128653_c0_g2",12,14,22,4,17,0
"TRINITY_DN128638_c0_g2",54,51,101,84,113,95
"TRINITY_DN128644_c0_g3",20,24,25,29,19,2
"TRINITY_DN128643_c1_g2",11,5,1,8,16,20
"TRINITY_DN128675_c0_g1",56,0,43,36,36,18
"TRINITY_DN128836_c0_g1",37,18,36,39,31,40
"TRINITY_DN129569_c0_g1",44,189,36,152,59,36
"TRINITY_DN129729_c0_g1",44,62,41,11,7,0
"TRINITY_DN129886_c0_g1",10,35,12,0,6,13
"TRINITY_DN130386_c0_g1",25,29,36,43,21,13
"TRINITY_DN130386_c0_g2",33,91,30,56,31,38
"TRINITY_DN130838_c0_g3",3,14,44,19,2,4
"TRINITY_DN131340_c2_g1",21,29,15,9,6,6
"TRINITY_DN131380_c0_g1",48,36,33,0,0,0
"TRINITY_DN131473_c1_g2",7,28,20,41,3,29
"TRINITY_DN131473_c1_g3",30,31,19,34,41,28
"TRINITY_DN131473_c1_g4",19,16,17,18,9,0
"TRINITY_DN131564_c0_g1",64,106,343,148,201,431
"TRINITY_DN131555_c0_g1",138,149,106,84,120,58
"TRINITY_DN132147_c0_g2",2,30,23,13,12,22
"TRINITY_DN132377_c0_g1",9,6,12,33,64,8
