ColonyID,treatment,genotype,tank.num,ExperimentalDay,Period,Photo_date,Photo_ID,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Tech,Notes
ACR-15,hot,3,20,TP4,Heatwave,20220331,IMG_7556,237.441,109.41,222.861,154.077,127.879,91.491,Kristen,Tank photo = IMG_7555
ACR-16,hot,4,18,TP4,Heatwave,20220331,IMG_7552,247.096,113.651,221.383,186.441,161.211,124.113,Kristen,Tank photo = IMG_7551
ACR-17,hot,5,4,TP4,Heatwave,20220331,IMG_7520,220.619,90.954,200.459,161.543,134.856,95.801,Kristen,Tank photo = IMG_7519
ACR-18,hot,6,22,TP4,Heatwave,20220331,IMG_7560,211.609,81.482,184.277,161.65,140.676,77.637,Kristen,Tank photo = IMG_7559
ACR-19,hot,7,16,TP4,Heatwave,20220331,IMG_7548,203.735,76.793,203.265,167.605,140.534,97.451,Kristen,Tank photo - IMG_7547
ACR-20,hot,8,2,TP4,Heatwave,20220331,IMG_7515,189.651,64.152,149.893,162.796,141.483,85.154,Kristen,Tank photo = IMG_7514
ACR-21,hot,9,15,TP4,Heatwave,20220331,IMG_7546,212.208,83.984,189.396,150.609,118.947,74.276,Kristen,Tank photo = IMG_7544
ACR-22,hot,10,12,TP4,Heatwave,20220331,IMG_7539,205.601,80.273,177.945,154.227,127.458,88.118,Kristen,Tank photo = IMG_7538
ACR-23,hot,11,23,TP4,Heatwave,20220331,IMG_7562,246.757,109.494,200.861,160.565,133.166,60.626,Kristen,Tank photo = IMG_7561
ACR-24,hot,12,6,TP4,Heatwave,20220331,IMG_7524,206.4,74.156,171.95,148.982,124.407,64.1,Kristen,Tank photo = IMG_7523
ACR-1,ambient,1,17,TP4,Heatwave,20220402,IMG_7825,241.852,103.023,191.619,184.321,160.581,87.809,Kristen,Tank photo = IMG_7824
ACR-2,ambient,2,14,TP4,Heatwave,20220402,IMG_7819,227.34,97.843,174.249,204.948,176.946,89.309,Kristen,Tank photo = IMG_7817
ACR-3,ambient,3,7,TP4,Heatwave,20220402,IMG_7804,200.014,73.445,145.726,177.29,149.102,62.84,Kristen,Tank photo = IMG_7803
ACR-4,ambient,4,24,TP4,Heatwave,20220402,IMG_7840,209.042,75.398,148.868,190.422,163.685,75.611,Kristen,Tank photo = IMG_7839
ACR-5,ambient,5,13,TP4,Heatwave,20220402,IMG_7816,234.887,107.477,189.981,155.125,128.833,47.675,Kristen,Tank photo = IMG_7815
ACR-6,ambient,6,9,TP4,Heatwave,20220402,IMG_7808,184.114,61.863,119.222,140.947,108.409,33.306,Kristen,Tank photo = IMG_7807
ACR-7,ambient,7,3,TP4,Heatwave,20220402,IMG_7796,215.346,87.435,164.632,173.025,141.321,55.494,Kristen,Tank photo = IMG_7795
ACR-8,ambient,8,19,TP4,Heatwave,20220402,IMG_7829,223.224,89.644,163.622,171.254,139.884,51.074,Kristen,Tank photo = IMG_7828
ACR-9,ambient,9,21,TP4,Heatwave,20220402,IMG_7834,240.905,101.801,179.568,165.054,136.25,51.107,Kristen,Tank photo = IMG_7832
ACR-10,ambient,10,5,TP4,Heatwave,20220402,IMG_7800,214.333,82.52,160.564,180.036,151.568,63.593,Kristen,Tank photo = IMG_7799
ACR-11,ambient,11,1,TP4,Heatwave,20220402,IMG_7792,227.479,102.739,180.756,171.16,140.116,54.768,Kristen,Tank photo = IMG_7791
ACR-12,ambient,12,11,TP4,Heatwave,20220402,IMG_7812,197.544,74.05,150.18,161.962,131.461,53.006,Kristen,Tank photo = IMG_7811
ACR-13,hot,1,10,TP4,Heatwave,20220402,IMG_7810,218.993,87.993,166.296,175.116,144.238,66.353,Kristen,Tank photo = IMG_7809
ACR-14,hot,2,8,TP4,Heatwave,20220402,IMG_7806,233.46,101.656,167.772,183.823,159.139,72.255,Kristen,Tank photo = IMG_7805
ACR-15,hot,3,20,TP4,Heatwave,20220402,IMG_7831,245.172,114.089,201.063,157.712,128.935,47.182,Kristen,Tank photo = IMG_7830
ACR-16,hot,4,18,TP4,Heatwave,20220402,IMG_7827,223.515,87.988,165.458,192.21,164.84,76.675,Kristen,Tank photo = IMG_7826
ACR-17,hot,5,4,TP4,Heatwave,20220402,IMG_7798,239.169,102.646,178.329,188.038,154.486,58.934,Kristen,Tank photo = IMG_7797
ACR-18,hot,6,22,TP4,Heatwave,20220402,IMG_7836,213.94,78.311,162.746,187.642,156.326,65.367,Kristen,Tank photo = IMG_7835
ACR-19,hot,7,16,TP4,Heatwave,20220402,IMG_7823,254.779,125.575,202.641,170.33,139.218,52.31,Kristen,Tank photo = IMG_7822
ACR-20,hot,8,2,TP4,Heatwave,20220402,IMG_7794,233.291,107.291,186.537,190.003,160.703,74.821,Kristen,Tank photo = IMG_7793
ACR-21,hot,9,15,TP4,Heatwave,20220402,IMG_7821,219.28,91.93,166.711,167.194,138.374,48.247,Kristen,Tank photo = IMG_7820
ACR-22,hot,10,12,TP4,Heatwave,20220402,IMG_7814,229.383,108.121,195.649,185.264,150.037,65.932,Kristen,Tank photo = IMG_7813
ACR-23,hot,11,23,TP4,Heatwave,20220402,IMG_7838,254.947,119.173,195.074,183.828,146.861,50.253,Kristen,Tank photo = IMG_7837
ACR-24,hot,12,6,TP4,Heatwave,20220402,IMG_7802,241.25,106.531,190.975,174.252,140.048,52.396,Kristen,Tank photo = IMG_7801
ACR-1,ambient,1,17,TP4,Heatwave,20220404,IMG_8103,227.491,94.958,197.331,168.335,141.448,89.164,Emma,Tank photo = IMG_8102
ACR-2,ambient,2,14,TP4,Heatwave,20220404,IMG_8097,214.249,82.054,184.201,173.488,143.691,97.109,Emma,Tank photo = IMG_8096
ACR-3,ambient,3,7,TP4,Heatwave,20220404,IMG_8082,244.782,114.079,215.312,164.466,134.894,67.75,Emma,Tank photo = IMG_8081
ACR-4,ambient,4,24,TP4,Heatwave,20220404,IMG_8119,191.906,64.066,162.76,184.624,163.104,101.283,Emma,Tank photo = IMG_8118
ACR-5,ambient,5,13,TP4,Heatwave,20220404,IMG_8095,205.55,71.499,177.206,175.695,146.542,91.107,Emma,Tank photo = IMG_8093
ACR-6,ambient,6,9,TP4,Heatwave,20220404,IMG_8086,192.862,66.912,154.258,153.924,127.657,65.266,Emma,Tank photo = IMG_8085
ACR-7,ambient,7,3,TP4,Heatwave,20220404,IMG_8074,221.363,93.8,200.061,158.29,134.76,76.989,Emma,Tank photo = IMG_8073
ACR-8,ambient,8,19,TP4,Heatwave,20220404,IMG_8106,204.908,70.36,165.56,157.785,134.315,72.778,Emma,Tank photo = IMG_8108
ACR-9,ambient,9,21,TP4,Heatwave,20220404,IMG_8112,208.838,78.887,171.043,145.475,126.629,67.596,Emma,Tank photo = IMG_8111
ACR-10,ambient,10,5,TP4,Heatwave,20220404,IMG_8078,212.913,85.488,194.276,159.341,143.224,88.461,Emma,Tank photo = IMG_8077
ACR-11,ambient,11,1,TP4,Heatwave,20220404,IMG_8070,202.459,78.495,186.439,162.346,137.691,73.648,Emma,Tank photo = IMG_8069
ACR-12,ambient,12,11,TP4,Heatwave,20220404,IMG_8090,202.752,69.926,172.66,155.482,131.921,80.775,Emma,Tank photo = IMG_8089
